packet_id,cik,accession,filing_year,form,document_url,has_item703_table,expected_month_rows,expected_total_row,label_notes
RP703-043,1089063,0001089063-19-000017,2019,10-K,https://www.sec.gov/Archives/edgar/data/1089063/000108906319000017/dks-10k_20190202.htm,,,,
RP703-044,1604778,0001604778-23-000055,2023,10-K,https://www.sec.gov/Archives/edgar/data/1604778/000160477823000055/rfmd-20230401.htm,,,,
RP703-045,1280776,0001280776-21-000009,2021,10-K,https://www.sec.gov/Archives/edgar/data/1280776/000128077621000009/imux-20201231.htm,,,,
RP703-046,1005284,0001005284-14-000067,2014,10-Q,https://www.sec.gov/Archives/edgar/data/1005284/000100528414000067/oled201410-q2.htm,,,,
RP703-047,1024478,0001024478-21-000005,2021,10-Q,https://www.sec.gov/Archives/edgar/data/1024478/000102447821000005/rok-20201231.htm,,,,
RP703-048,889971,0001387131-14-003204,2014,10-K,https://www.sec.gov/Archives/edgar/data/889971/000138713114003204/lpth-10k_063014.htm,,,,
RP703-049,1364479,0001364479-25-000056,2025,10-Q,https://www.sec.gov/Archives/edgar/data/1364479/000136447925000056/hri-20250930.htm,,,,
RP703-050,1825452,0001654954-24-014446,2024,10-Q,https://www.sec.gov/Archives/edgar/data/1825452/000165495424014446/onfo_10q.htm,,,,
RP703-051,835324,0001437749-20-017150,2020,10-Q,https://www.sec.gov/Archives/edgar/data/835324/000143774920017150/sybt20200630_10q.htm,,,,
RP703-052,1348952,0000065984-21-000182,2021,10-Q,https://www.sec.gov/Archives/edgar/data/1348952/000006598421000182/etr-20210331.htm,,,,
RP703-053,723612,0000723612-13-000018,2013,10-Q,https://www.sec.gov/Archives/edgar/data/723612/000072361213000018/car-20130331x10q.htm,,,,
RP703-054,1080014,0001104659-15-076246,2015,10-Q,https://www.sec.gov/Archives/edgar/data/1080014/000110465915076246/a15-17874_110q.htm,,,,
RP703-055,1593899,0001564590-22-007672,2022,10-K,https://www.sec.gov/Archives/edgar/data/1593899/000156459022007672/avir-10k_20211231.htm,,,,
RP703-056,1553643,0001213900-20-021649,2020,10-Q,https://www.sec.gov/Archives/edgar/data/1553643/000121390020021649/f10q0620_relmadatherape.htm,,,,
RP703-057,1133062,0000950159-18-000363,2018,10-Q,https://www.sec.gov/Archives/edgar/data/1133062/000095015918000363/janel8-1810q.htm,,,,
RP703-058,1612720,0001437749-20-016870,2020,10-Q,https://www.sec.gov/Archives/edgar/data/1612720/000143774920016870/next20200630_10q.htm,,,,
RP703-059,820318,0001564590-18-022409,2018,10-K,https://www.sec.gov/Archives/edgar/data/820318/000156459018022409/iivi-10k_20180630.htm,,,,
RP703-060,740260,0000740260-19-000168,2019,10-Q,https://www.sec.gov/Archives/edgar/data/740260/000074026019000168/vtr9302019doc.htm,,,,
