date,equity
2026-08-07,100.00000
2026-08-08,100.00000
2026-08-11,100.02162
2026-08-12,99.91875
2026-08-13,100.10325
2026-08-14,99.93191
2026-08-15,99.96485
2026-08-16,99.97653
2026-08-17,99.92486
2026-08-18,100.10802
2026-08-19,99.16478
2026-08-20,99.01792
2026-08-21,98.78288
2026-08-22,98.49586
2026-08-23,98.30088
2026-08-24,98.17972
2026-08-25,97.64813
2026-08-26,97.53954
